,pays,code_pays,code_produit,produit,alim_ani,autres_utilisations,dispo_int,nourriture,pertes,semences,transfo,annee
0,Afghanistan,2,2511,Blé,,,5992000000.0,4895000000.0,775000000.0,322000000.0,,2013
1,Afghanistan,2,2513,Orge,360000000.0,,524000000.0,89000000.0,52000000.0,22000000.0,,2013
2,Afghanistan,2,2514,Maïs,200000000.0,,313000000.0,76000000.0,31000000.0,5000000.0,,2013
3,Afghanistan,2,2517,Millet,,,13000000.0,12000000.0,1000000.0,0.0,,2013
4,Afghanistan,2,2520,"Céréales, Autres",,,0.0,0.0,,,,2013
5,Afghanistan,2,2531,Pommes de Terre,,,262000000.0,230000000.0,9000000.0,23000000.0,,2013
6,Afghanistan,2,2536,"Sucre, canne",81000000.0,,90000000.0,,,,9000000.0,2013
7,Afghanistan,2,2537,"Sucre, betterave",0.0,,15000000.0,,,,15000000.0,2013
8,Afghanistan,2,2542,Sucre Eq Brut,,,255000000.0,255000000.0,,,,2013
9,Afghanistan,2,2543,Edulcorants Autres,,,16000000.0,16000000.0,,,,2013
10,Afghanistan,2,2549,Légumineuses Autres,4000000.0,,86000000.0,74000000.0,3000000.0,5000000.0,,2013
11,Afghanistan,2,2551,Noix,,,44000000.0,44000000.0,,,,2013
12,Afghanistan,2,2557,Graines de tournesol,,,3000000.0,,,0.0,3000000.0,2013
13,Afghanistan,2,2559,Graines de coton,,,27000000.0,,,1000000.0,26000000.0,2013
14,Afghanistan,2,2560,Coco (Incl Coprah),,,0.0,0.0,,,,2013
15,Afghanistan,2,2561,Sésame,,,21000000.0,16000000.0,1000000.0,1000000.0,4000000.0,2013
16,Afghanistan,2,2563,Olives,,,7000000.0,2000000.0,0.0,,4000000.0,2013
17,Afghanistan,2,2570,"Plantes Oleiferes, Autre",,,3000000.0,,0.0,0.0,2000000.0,2013
18,Afghanistan,2,2571,Huile de Soja,,,16000000.0,16000000.0,,,,2013
19,Afghanistan,2,2572,Huile d'Arachide,,,0.0,0.0,,,,2013
20,Afghanistan,2,2573,Huile de Tournesol,,,23000000.0,23000000.0,,,,2013
21,Afghanistan,2,2574,Huile de Colza&Moutarde,,,2000000.0,2000000.0,,,,2013
22,Afghanistan,2,2575,Huile Graines de Coton,,1000000.0,5000000.0,4000000.0,,,,2013
23,Afghanistan,2,2577,Huile de Palme,,55000000.0,119000000.0,64000000.0,,,,2013
24,Afghanistan,2,2579,Huile de Sésame,,,1000000.0,1000000.0,,,,2013
25,Afghanistan,2,2580,Huile d'Olive,,,1000000.0,1000000.0,,,,2013
26,Afghanistan,2,2586,Huil Plantes Oleif Autr,,359000000.0,361000000.0,2000000.0,,,,2013
27,Afghanistan,2,2601,Tomates,,,0.0,0.0,,,,2013
28,Afghanistan,2,2605,"Légumes, Autres",,,1007000000.0,885000000.0,122000000.0,,,2013
29,Afghanistan,2,2611,"Oranges, Mandarines",,,145000000.0,145000000.0,0.0,,,2013
30,Afghanistan,2,2614,"Agrumes, Autres",,,41000000.0,39000000.0,2000000.0,,,2013
31,Afghanistan,2,2615,Bananes,,,82000000.0,82000000.0,,,,2013
32,Afghanistan,2,2617,Pommes,,,72000000.0,68000000.0,4000000.0,,,2013
33,Afghanistan,2,2618,Ananas,,,0.0,0.0,,,,2013
34,Afghanistan,2,2619,Dattes,,,1000000.0,1000000.0,,,,2013
35,Afghanistan,2,2620,Raisin,,,513000000.0,483000000.0,31000000.0,,,2013
36,Afghanistan,2,2625,"Fruits, Autres",,,240000000.0,223000000.0,17000000.0,,,2013
37,Afghanistan,2,2630,Café,,,0.0,0.0,,,,2013
38,Afghanistan,2,2633,Feve de Cacao,,,1000000.0,1000000.0,,,,2013
39,Afghanistan,2,2635,Thé,,,107000000.0,107000000.0,,,,2013
40,Afghanistan,2,2640,Poivre,,,0.0,0.0,,,,2013
41,Afghanistan,2,2645,"Épices, Autres",,,8000000.0,8000000.0,,,,2013
42,Afghanistan,2,2655,Vin,,,0.0,0.0,,,,2013
43,Afghanistan,2,2656,Bière,,,3000000.0,3000000.0,,,,2013
44,Afghanistan,2,2658,Boissons Alcooliques,,,0.0,0.0,,,,2013
45,Afghanistan,2,2680,Aliments pour enfants,,,2000000.0,2000000.0,,,,2013
46,Afghanistan,2,2731,Viande de Bovins,,,140000000.0,140000000.0,,,,2013
47,Afghanistan,2,2732,Viande d'Ovins/Caprins,,,150000000.0,150000000.0,,,,2013
48,Afghanistan,2,2734,Viande de Volailles,,,75000000.0,75000000.0,,,,2013
49,Afghanistan,2,2735,"Viande, Autre",,,12000000.0,12000000.0,,,,2013
50,Afghanistan,2,2736,Abats Comestible,,,53000000.0,53000000.0,,,,2013
51,Afghanistan,2,2737,Graisses Animales Crue,,,15000000.0,15000000.0,,,,2013
52,Afghanistan,2,2740,"Beurre, Ghee",,,36000000.0,36000000.0,,,,2013
53,Afghanistan,2,2743,Crème,,,18000000.0,18000000.0,,,,2013
54,Afghanistan,2,2744,Oeufs,,,47000000.0,40000000.0,5000000.0,2000000.0,,2013
55,Afghanistan,2,2745,Miel,,,2000000.0,2000000.0,,,,2013
56,Afghanistan,2,2761,Poissons Eau Douce,,0.0,2000000.0,2000000.0,,,,2013
57,Afghanistan,2,2805,Riz (Eq Blanchi),,,461000000.0,422000000.0,24000000.0,14000000.0,,2013
58,Afghanistan,2,2848,Lait - Excl Beurre,123000000.0,,2083000000.0,1901000000.0,58000000.0,,,2013
